Company Name,Stock Volatility today as a percent of company average stock today,StockURL
"CollPlant Holdings, Ltd.",20.730797912005976,https://www.nasdaq.com/symbol/clgn
Check-Cap Ltd.,20.53756030323914,https://www.nasdaq.com/symbol/chekw
"Jaguar Health, Inc.",20.51282051282051,https://www.nasdaq.com/symbol/jagx
"Achieve Life Sciences, Inc. ",19.65378379791851,https://www.nasdaq.com/symbol/achv
Constellation Alpha Capital Corp.,18.867924528301884,https://www.nasdaq.com/symbol/cnacw
"Rocket Pharmaceuticals, Inc.",18.846427723712335,https://www.nasdaq.com/symbol/rckt
"Co-Diagnostics, Inc.",18.594104308390026,https://www.nasdaq.com/symbol/codx
"G1 Therapeutics, Inc.",18.199975034327814,https://www.nasdaq.com/symbol/gthx
"Estre Ambiental, Inc.",18.18181818181818,https://www.nasdaq.com/symbol/estrw
Concordia International Corp.,18.181818181818173,https://www.nasdaq.com/symbol/cxrx
"Tintri, Inc.",17.94329242488362,https://www.nasdaq.com/symbol/tntr
Pingtan Marine Enterprise Ltd.,17.713365539452493,https://www.nasdaq.com/symbol/pme
"SGOCO Group, Ltd",17.64119855927657,https://www.nasdaq.com/symbol/sgoc
Immutep Limited,17.51109368595512,https://www.nasdaq.com/symbol/immp
DAVIDsTEA Inc.,17.449664429530202,https://www.nasdaq.com/symbol/dtea
"Urban One, Inc. ",17.24137931034483,https://www.nasdaq.com/symbol/uone
Atlanticus Holdings Corporation,17.19955898566704,https://www.nasdaq.com/symbol/atlc
Highpower International Inc,17.054263565891468,https://www.nasdaq.com/symbol/hpj
PAVmed Inc.,16.8421052631579,https://www.nasdaq.com/symbol/pavm
Yulong Eco-Materials Limited,16.809605488850778,https://www.nasdaq.com/symbol/yeco
"China HGS Real Estate, Inc.",16.483516483516485,https://www.nasdaq.com/symbol/hgsh
Galmed Pharmaceuticals Ltd.,16.450216450216445,https://www.nasdaq.com/symbol/glmd
"CohBar, Inc.",16.397675919948355,https://www.nasdaq.com/symbol/cwbr
"Enphase Energy, Inc.",16.34527089072543,https://www.nasdaq.com/symbol/enph
ENDRA Life Sciences Inc.,16.216216216216218,https://www.nasdaq.com/symbol/ndra
"TG Therapeutics, Inc.",16.216216216216218,https://www.nasdaq.com/symbol/tgtx
"RF Industries, Ltd.",16.166844268534014,https://www.nasdaq.com/symbol/rfil
"Fred&#39;s, Inc.",16.091954022988514,https://www.nasdaq.com/symbol/fred
Senmiao Technology Limited,15.660685154975528,https://www.nasdaq.com/symbol/aihs
"TSR, Inc.",15.544041450777202,https://www.nasdaq.com/symbol/tsri
"Idera Pharmaceuticals, Inc.",15.21739130434783,https://www.nasdaq.com/symbol/idra
"Determine, Inc. ",15.09433962264151,https://www.nasdaq.com/symbol/dtrm
"Obalon Therapeutics, Inc.",14.925373134328362,https://www.nasdaq.com/symbol/obln
Yangtze River Port and Logistics Limited ,14.853857211308105,https://www.nasdaq.com/symbol/yriv
IZEA Inc.,14.840989399293283,https://www.nasdaq.com/symbol/izea
"Evolus, Inc.",14.819652999041816,https://www.nasdaq.com/symbol/eols
Benitec Biopharma Limited,14.744801512287323,https://www.nasdaq.com/symbol/bntc
"VIVUS, Inc.",14.61757913326994,https://www.nasdaq.com/symbol/vvus
"Flex Pharma, Inc.",14.492753623188406,https://www.nasdaq.com/symbol/flks
ContraVir Pharmaceuticals Inc,14.473684210526313,https://www.nasdaq.com/symbol/ctrv
Euro Tech Holdings Company Limited,14.432989690721653,https://www.nasdaq.com/symbol/clwt
"Inspired Entertainment, Inc.",14.400000000000004,https://www.nasdaq.com/symbol/inse
"iQIYI, Inc.",14.392059553349867,https://www.nasdaq.com/symbol/iq
"Loxo Oncology, Inc.",14.324178782983294,https://www.nasdaq.com/symbol/loxo
"Genomic Health, Inc.",14.301333916466211,https://www.nasdaq.com/symbol/ghdx
"Ascent Capital Group, Inc.",14.285714285714288,https://www.nasdaq.com/symbol/ascma
"Syndax Pharmaceuticals, Inc.",14.235137303152579,https://www.nasdaq.com/symbol/sndx
"Real Goods Solar, Inc.",14.173228346456707,https://www.nasdaq.com/symbol/rgse
"Novus Therapeutics, Inc.",14.080656185919349,https://www.nasdaq.com/symbol/nvus
Abeona Therapeutics Inc.,14.065077222971953,https://www.nasdaq.com/symbol/abeo
Canadian Solar Inc.,14.024061333082773,https://www.nasdaq.com/symbol/csiq
"Aeglea BioTherapeutics, Inc.",13.947620781431889,https://www.nasdaq.com/symbol/agle
"Five Prime Therapeutics, Inc.",13.894494090516002,https://www.nasdaq.com/symbol/fprx
Trans World Entertainment Corp.,13.725490196078443,https://www.nasdaq.com/symbol/twmc
NovoCure Limited,13.689482470784647,https://www.nasdaq.com/symbol/nvcr
Neovasc Inc.,13.682678311499277,https://www.nasdaq.com/symbol/nvcn
"Corvus Pharmaceuticals, Inc.",13.656565656565666,https://www.nasdaq.com/symbol/crvs
"Infinity Pharmaceuticals, Inc.",13.471502590673575,https://www.nasdaq.com/symbol/infi
InfoSonics Corp,13.471502590673564,https://www.nasdaq.com/symbol/ifon
Neonode Inc.,13.399350146990564,https://www.nasdaq.com/symbol/neon
PAVmed Inc.,13.333333333333345,https://www.nasdaq.com/symbol/pavmz
Euroseas Ltd.,13.259668508287293,https://www.nasdaq.com/symbol/esea
"Voyager Therapeutics, Inc.",13.245655237200566,https://www.nasdaq.com/symbol/vygr
"ChinaNet Online Holdings, Inc.",13.201320132013198,https://www.nasdaq.com/symbol/cnet
Novelion Therapeutics Inc. ,13.157894736842104,https://www.nasdaq.com/symbol/nvln
"ChemoCentryx, Inc.",13.110647181628396,https://www.nasdaq.com/symbol/ccxi
"Westwater Resources, Inc.",12.99254526091587,https://www.nasdaq.com/symbol/wwr
Dragon Victory International Limited,12.980132450331123,https://www.nasdaq.com/symbol/lyl
ProQR Therapeutics N.V.,12.903225806451612,https://www.nasdaq.com/symbol/prqr
"Mirati Therapeutics, Inc.",12.817412333736389,https://www.nasdaq.com/symbol/mrtx
"Eiger BioPharmaceuticals, Inc.",12.720848056537108,https://www.nasdaq.com/symbol/eigr
"Ameri Holdings, Inc.",12.668305818990744,https://www.nasdaq.com/symbol/amrh
"Agios Pharmaceuticals, Inc.",12.652108226891912,https://www.nasdaq.com/symbol/agio
"Red Violet, Inc.",12.648587712156326,https://www.nasdaq.com/symbol/rdvt
"Organovo Holdings, Inc.",12.639405204460964,https://www.nasdaq.com/symbol/onvo
Blink Charging Co.,12.609236202454094,https://www.nasdaq.com/symbol/blnkw
Array BioPharma Inc.,12.600871834321323,https://www.nasdaq.com/symbol/arry
"Vermillion, Inc.",12.56038647342996,https://www.nasdaq.com/symbol/vrml
"Ohr Pharmaceutical, Inc.",12.544483985765126,https://www.nasdaq.com/symbol/ohrp
"Newater Technology, Inc.",12.476960866449675,https://www.nasdaq.com/symbol/newa
"One Horizon Group, Inc.",12.322274881516597,https://www.nasdaq.com/symbol/ohgi
QuickLogic Corporation,12.244897959183684,https://www.nasdaq.com/symbol/quik
AirMedia Group Inc,12.230460512890277,https://www.nasdaq.com/symbol/amcn
Vericel Corporation,12.154696132596689,https://www.nasdaq.com/symbol/vcel
"CryoPort, Inc.",12.14865590377387,https://www.nasdaq.com/symbol/cyrxw
"OpGen, Inc.",12.10855949895616,https://www.nasdaq.com/symbol/opgn
"Fidelity D & D Bancorp, Inc.",12.093023255813954,https://www.nasdaq.com/symbol/fdbc
"FTD Companies, Inc.",12.070566388115141,https://www.nasdaq.com/symbol/ftd
trivago N.V.,11.990444781864419,https://www.nasdaq.com/symbol/trvg
Adaptimmune Therapeutics plc,11.941774577371204,https://www.nasdaq.com/symbol/adap
"Ascena Retail Group, Inc.",11.93181818181818,https://www.nasdaq.com/symbol/asna
Turtle Beach Corporation,11.876219682185663,https://www.nasdaq.com/symbol/hear
"Smith Micro Software, Inc.",11.872146118721453,https://www.nasdaq.com/symbol/smsi
Datawatch Corporation,11.827956989247307,https://www.nasdaq.com/symbol/dwch
Blueprint Medicines Corporation,11.79589131875415,https://www.nasdaq.com/symbol/bpmc
"Sigma Labs, Inc.",11.794228356336262,https://www.nasdaq.com/symbol/sglb
"Motus GI Holdings, Inc.",11.782420478072652,https://www.nasdaq.com/symbol/mots
Denali Therapeutics Inc.,11.781888997078878,https://www.nasdaq.com/symbol/dnli
"Urban One, Inc. ",11.76470588235294,https://www.nasdaq.com/symbol/uonek
"Dare Bioscience, Inc.",11.764705882352935,https://www.nasdaq.com/symbol/dare
Geron Corporation,11.673151750972767,https://www.nasdaq.com/symbol/gern
"Ambac Financial Group, Inc.",11.654526534859514,https://www.nasdaq.com/symbol/ambcw
"Ritter Pharmaceuticals, Inc.",11.640211640211637,https://www.nasdaq.com/symbol/rttr
"ImmunoGen, Inc.",11.627906976744192,https://www.nasdaq.com/symbol/imgn
VivoPower International PLC,11.618257261410779,https://www.nasdaq.com/symbol/vvpr
"HTG Molecular Diagnostics, Inc.",11.588621017478003,https://www.nasdaq.com/symbol/htgm
"ProPhase Labs, Inc.",11.555555555555546,https://www.nasdaq.com/symbol/prph
"Chembio Diagnostics, Inc.",11.515982613183825,https://www.nasdaq.com/symbol/cemi
"Genprex, Inc.",11.447830493294678,https://www.nasdaq.com/symbol/gnpx
Superconductor Technologies Inc.,11.28205128205128,https://www.nasdaq.com/symbol/scon
"Iconix Brand Group, Inc.",11.210398050365567,https://www.nasdaq.com/symbol/icon
Arcturus Therapeutics Ltd.,11.202259831333814,https://www.nasdaq.com/symbol/arct
"Borqs Technologies, Inc. ",11.147540983606568,https://www.nasdaq.com/symbol/brqs
Bilibili Inc.,11.075619163326584,https://www.nasdaq.com/symbol/bili
Gulfport Energy Corporation,11.075514874141867,https://www.nasdaq.com/symbol/gpor
"Ra Pharmaceuticals, Inc.",11.042944785276081,https://www.nasdaq.com/symbol/rarx
"Biocept, Inc.",11.019929660023443,https://www.nasdaq.com/symbol/bioc
"Endocyte, Inc.",11.010558069381606,https://www.nasdaq.com/symbol/ecyt
Cesca Therapeutics Inc.,11.006255964372812,https://www.nasdaq.com/symbol/kool
Sphere 3D Corp.,10.991268618387249,https://www.nasdaq.com/symbol/any
Kitov Pharma Ltd.,10.979249080435846,https://www.nasdaq.com/symbol/ktovw
"MYnd Analytics, Inc.",10.9677294909631,https://www.nasdaq.com/symbol/mynd
"Arcadia Biosciences, Inc.",10.940919037199125,https://www.nasdaq.com/symbol/rkda
Dynavax Technologies Corporation,10.932475884244369,https://www.nasdaq.com/symbol/dvax
"NanoString Technologies, Inc.",10.856102003642988,https://www.nasdaq.com/symbol/nstg
"Arsanis, Inc.",10.818307905686543,https://www.nasdaq.com/symbol/asns
Menlo Therapeutics Inc.,10.817307692307686,https://www.nasdaq.com/symbol/mnlo
Celgene Corporation,10.810810810810821,https://www.nasdaq.com/symbol/celgz
"Biostar Pharmaceuticals, Inc.",10.799136069114471,https://www.nasdaq.com/symbol/bspm
CytRx Corporation,10.769230769230779,https://www.nasdaq.com/symbol/cytr
Atossa Genetics Inc.,10.757813031933011,https://www.nasdaq.com/symbol/atos
"ACM Research, Inc.",10.736764161421704,https://www.nasdaq.com/symbol/acmr
"Digital Ally, Inc.",10.714285714285724,https://www.nasdaq.com/symbol/dgly
JMU Limited,10.714285714285703,https://www.nasdaq.com/symbol/jmu
"Purple Innovation, Inc.",10.714285714285703,https://www.nasdaq.com/symbol/prplw
Xenon Pharmaceuticals Inc.,10.69958847736626,https://www.nasdaq.com/symbol/xene
"Opiant Pharmaceuticals, Inc.",10.696870276159402,https://www.nasdaq.com/symbol/opnt
"Melinta Therapeutics, Inc.",10.676156583629892,https://www.nasdaq.com/symbol/mlnt
"T2 Biosystems, Inc.",10.674486803519063,https://www.nasdaq.com/symbol/ttoo
"Avinger, Inc.",10.650887573964493,https://www.nasdaq.com/symbol/avgr
SeaSpine Holdings Corporation,10.647826325080151,https://www.nasdaq.com/symbol/spne
"LEAP THERAPEUTICS, INC.",10.646823125357754,https://www.nasdaq.com/symbol/lptx
"TESARO, Inc.",10.540990241489398,https://www.nasdaq.com/symbol/tsro
"Reliv&#39; International, Inc.",10.526959161428978,https://www.nasdaq.com/symbol/relv
"My Size, Inc.",10.496827881684121,https://www.nasdaq.com/symbol/mysz
"Apollo Medical Holdings, Inc.",10.491367861885792,https://www.nasdaq.com/symbol/ameh
"NCS Multistage Holdings, Inc.",10.476512335248401,https://www.nasdaq.com/symbol/ncsm
China Internet Nationwide Financial Services Inc.,10.473991907946731,https://www.nasdaq.com/symbol/cifs
Viper Energy Partners LP,10.442324371205544,https://www.nasdaq.com/symbol/vnom
NextDecade Corporation,10.379094589620893,https://www.nasdaq.com/symbol/next
"Clearside Biomedical, Inc.",10.336552407976841,https://www.nasdaq.com/symbol/clsd
"CryoPort, Inc.",10.270291475422706,https://www.nasdaq.com/symbol/cyrx
Elbit Imaging Ltd.,10.268948655256722,https://www.nasdaq.com/symbol/emitf
Aralez Pharmaceuticals Inc.,10.25641025641025,https://www.nasdaq.com/symbol/arlz
"Strata Skin Sciences, Inc.",10.187667560321714,https://www.nasdaq.com/symbol/sskn
"Titan Pharmaceuticals, Inc.",10.169491525423737,https://www.nasdaq.com/symbol/ttnp
Gemphire Therapeutics Inc.,10.140845070422532,https://www.nasdaq.com/symbol/gemp
Check-Cap Ltd.,10.091743119266065,https://www.nasdaq.com/symbol/chek
"Viking Therapeutics, Inc.",10.090556274256137,https://www.nasdaq.com/symbol/vktxw
ZIOPHARM Oncology Inc,10.075026795284044,https://www.nasdaq.com/symbol/ziop
"Tyme Technologies, Inc.",10.062893081761002,https://www.nasdaq.com/symbol/tyme
Immune Design Corp.,10.062182023742215,https://www.nasdaq.com/symbol/imdz
Technical Communications Corporation,10.055865921787714,https://www.nasdaq.com/symbol/tcco
"Biolase, Inc.",10.04281821720514,https://www.nasdaq.com/symbol/biol
"BioXcel Therapeutics, Inc.",10.040705563093617,https://www.nasdaq.com/symbol/btai
"Evofem Biosciences, Inc.",10.037855660031745,https://www.nasdaq.com/symbol/evfm
"Fate Therapeutics, Inc.",9.966777408637881,https://www.nasdaq.com/symbol/fate
"Rigel Pharmaceuticals, Inc.",9.92481203007519,https://www.nasdaq.com/symbol/rigl
Attunity Ltd.,9.89583333333334,https://www.nasdaq.com/symbol/attu
IRSA Propiedades Comerciales S.A.,9.89482840305665,https://www.nasdaq.com/symbol/ircp
"Catasys, Inc.",9.858365409768668,https://www.nasdaq.com/symbol/cats
CPS Technologies Corp.,9.855072463768124,https://www.nasdaq.com/symbol/cpsh
"SenesTech, Inc.",9.83906750713103,https://www.nasdaq.com/symbol/snes
"Advaxis, Inc.",9.798270893371768,https://www.nasdaq.com/symbol/adxs
"Verastem, Inc.",9.786899679071478,https://www.nasdaq.com/symbol/vstm
ADMA Biologics Inc,9.782082324455205,https://www.nasdaq.com/symbol/adma
Helios and Matheson Analytics Inc,9.754410238671742,https://www.nasdaq.com/symbol/hmny
"Molecular Templates, Inc.",9.746588693957117,https://www.nasdaq.com/symbol/mtem
"ARCA biopharma, Inc.",9.745723532131313,https://www.nasdaq.com/symbol/abio
"Lantronix, Inc.",9.678132135228697,https://www.nasdaq.com/symbol/ltrx
Veru Inc.,9.66921119592875,https://www.nasdaq.com/symbol/veru
Tecogen Inc.,9.65147453083111,https://www.nasdaq.com/symbol/tgen
MagneGas Corporation,9.625668449197857,https://www.nasdaq.com/symbol/mnga
Leading Brands Inc,9.600645421540943,https://www.nasdaq.com/symbol/lbix
REGENXBIO Inc.,9.597673291323307,https://www.nasdaq.com/symbol/rgnx
Compugen Ltd.,9.523809523809526,https://www.nasdaq.com/symbol/cgen
"China Advanced Construction Materials Group, Inc.",9.523809523809518,https://www.nasdaq.com/symbol/cadc
Easterly Acquisition Corp.,9.523809523809518,https://www.nasdaq.com/symbol/eacqw
Stellar Acquisition III Inc.,9.523809523809518,https://www.nasdaq.com/symbol/stlrw
"Alliqua BioMedical, Inc.",9.476309226932678,https://www.nasdaq.com/symbol/alqa
"Staffing 360 Solutions, Inc.",9.463722397476335,https://www.nasdaq.com/symbol/staf
"Applied Optoelectronics, Inc.",9.405351937788724,https://www.nasdaq.com/symbol/aaoi
"Anthera Pharmaceuticals, Inc.",9.397749834546664,https://www.nasdaq.com/symbol/anth
OrthoPediatrics Corp.,9.388773897613447,https://www.nasdaq.com/symbol/kids
"Sophiris Bio, Inc.",9.384164222873896,https://www.nasdaq.com/symbol/sphs
Enterprise Bancorp Inc,9.367959207873836,https://www.nasdaq.com/symbol/ebtc
"Cue Biopharma, Inc.",9.334353481254773,https://www.nasdaq.com/symbol/cue
Landec Corporation,9.324452901998104,https://www.nasdaq.com/symbol/lndc
"Dova Pharmaceuticals, Inc.",9.305185488829675,https://www.nasdaq.com/symbol/dova
TapImmune Inc.,9.301822742113346,https://www.nasdaq.com/symbol/tpiv
"aTyr Pharma, Inc.",9.277990931287057,https://www.nasdaq.com/symbol/life
"bluebird bio, Inc.",9.246889325474775,https://www.nasdaq.com/symbol/blue
"Viking Therapeutics, Inc.",9.244154431756385,https://www.nasdaq.com/symbol/vktx
"Immunomedics, Inc.",9.198634263908412,https://www.nasdaq.com/symbol/immu
Ultra Petroleum Corp.,9.195402298850583,https://www.nasdaq.com/symbol/upl
"Catalyst Pharmaceuticals, Inc.",9.161381254404516,https://www.nasdaq.com/symbol/cprx
Trillium Therapeutics Inc.,9.150281021833905,https://www.nasdaq.com/symbol/tril
"Pulmatrix, Inc.",9.115825804486851,https://www.nasdaq.com/symbol/pulm
"Digital Turbine, Inc.",9.092685105076612,https://www.nasdaq.com/symbol/apps
"Vaxart, Inc.",9.059233449477345,https://www.nasdaq.com/symbol/vxrt
MYOS RENS Technology Inc.,9.059233449477343,https://www.nasdaq.com/symbol/myos
Akers Biosciences Inc,9.045226130653274,https://www.nasdaq.com/symbol/aker
GOLDEN BULL LIMITED,9.03861955628596,https://www.nasdaq.com/symbol/dnjr
"Athersys, Inc.",9.022556390977435,https://www.nasdaq.com/symbol/athx
"Catalyst Biosciences, Inc. ",8.998548621190123,https://www.nasdaq.com/symbol/cbio
Nuvectra Corporation,8.99692651578653,https://www.nasdaq.com/symbol/nvtr
"Destination XL Group, Inc.",8.955223880597009,https://www.nasdaq.com/symbol/dxlg
"Invuity, Inc.",8.955223880597009,https://www.nasdaq.com/symbol/ivty
"Sino-Global Shipping America, Ltd.",8.955223880597007,https://www.nasdaq.com/symbol/sino
NF Energy Saving Corporation,8.897485493230175,https://www.nasdaq.com/symbol/nfec
MDC Partners Inc.,8.873720136518765,https://www.nasdaq.com/symbol/mdca
"Champions Oncology, Inc.",8.8711212640396,https://www.nasdaq.com/symbol/csbr
Lianluo Smart Limited,8.866995073891633,https://www.nasdaq.com/symbol/llit
Atomera Incorporated,8.849557522123892,https://www.nasdaq.com/symbol/atom
"Rhythm Pharmaceuticals, Inc.",8.843125378558444,https://www.nasdaq.com/symbol/rytm
"NII Holdings, Inc.",8.810572687224678,https://www.nasdaq.com/symbol/nihd
"Cytokinetics, Incorporated",8.79765395894428,https://www.nasdaq.com/symbol/cytk
Global Eagle Entertainment Inc.,8.767522891175762,https://www.nasdaq.com/symbol/ent
"Odonate Therapeutics, Inc.",8.751665043042607,https://www.nasdaq.com/symbol/odt
Tuesday Morning Corp.,8.695652173913043,https://www.nasdaq.com/symbol/tues
"Sears Hometown and Outlet Stores, Inc.",8.695652173913032,https://www.nasdaq.com/symbol/shos
AEterna Zentaris Inc.,8.695652173913032,https://www.nasdaq.com/symbol/aezs
"Altimmune, Inc.",8.695652173913032,https://www.nasdaq.com/symbol/alt
Forward Pharma A/S,8.690829043384802,https://www.nasdaq.com/symbol/fwp
"Iovance Biotherapeutics, Inc.",8.665511265164644,https://www.nasdaq.com/symbol/iova
Titan Machinery Inc.,8.634111818825206,https://www.nasdaq.com/symbol/titn
"Intermolecular, Inc.",8.633093525179847,https://www.nasdaq.com/symbol/imi
Sears Holdings Corporation,8.616780045351472,https://www.nasdaq.com/symbol/shld
Clementia Pharmaceuticals Inc.,8.615165539337848,https://www.nasdaq.com/symbol/cmta
"Calithera Biosciences, Inc.",8.612440191387563,https://www.nasdaq.com/symbol/cala
"First Solar, Inc.",8.590853681525132,https://www.nasdaq.com/symbol/fslr
"Marrone Bio Innovations, Inc.",8.582895955541835,https://www.nasdaq.com/symbol/mbii
"Bridgeline Digital, Inc.",8.571428571428562,https://www.nasdaq.com/symbol/blin
Future FinTech Group Inc.,8.568191801724746,https://www.nasdaq.com/symbol/ftft
"Energy Focus, Inc.",8.547008547008536,https://www.nasdaq.com/symbol/efoi
Precision Therapeutics Inc.,8.538096662535779,https://www.nasdaq.com/symbol/aipt
"SG Blocks, Inc.",8.517252098228155,https://www.nasdaq.com/symbol/sgbx
"Arrowhead Pharmaceuticals, Inc.",8.516612072999532,https://www.nasdaq.com/symbol/arwr
GigaMedia Limited,8.512376439833345,https://www.nasdaq.com/symbol/gigm
ENGlobal Corporation,8.485792137018294,https://www.nasdaq.com/symbol/eng
Galectin Therapeutics Inc.,8.467741935483868,https://www.nasdaq.com/symbol/galt
CTI Industries Corporation,8.45714285714284,https://www.nasdaq.com/symbol/ctib
Aceto Corporation,8.440366972477065,https://www.nasdaq.com/symbol/acet
Omeros Corporation,8.438193930421914,https://www.nasdaq.com/symbol/omer
CRISPR Therapeutics AG,8.430549074506148,https://www.nasdaq.com/symbol/crsp
Sundance Energy Australia Limited,8.429118773946366,https://www.nasdaq.com/symbol/snde
Fibrocell Science Inc,8.403361344537823,https://www.nasdaq.com/symbol/fcsc
Clean Energy Fuels Corp.,8.403361344537814,https://www.nasdaq.com/symbol/clne
Nano Dimension Ltd.,8.365019011406853,https://www.nasdaq.com/symbol/nndm
scPharmaceuticals Inc.,8.350129570976096,https://www.nasdaq.com/symbol/scph
"Rockwell Medical, Inc.",8.34206002647646,https://www.nasdaq.com/symbol/rmti
"Celsius Holdings, Inc.",8.333333333333341,https://www.nasdaq.com/symbol/celh
"Madrigal Pharmaceuticals, Inc.",8.32709300584094,https://www.nasdaq.com/symbol/mdgl
"Cadiz, Inc.",8.316831683168322,https://www.nasdaq.com/symbol/cdzi
"Riot Blockchain, Inc",8.306709265175723,https://www.nasdaq.com/symbol/riot
"National American University Holdings, Inc.",8.286096133462358,https://www.nasdaq.com/symbol/nauh
"Discovery, Inc.",8.271459667141603,https://www.nasdaq.com/symbol/discb
"Proteon Therapeutics, Inc.",8.27109575298184,https://www.nasdaq.com/symbol/prto
"Fossil Group, Inc.",8.250694168980557,https://www.nasdaq.com/symbol/fosl
"SCYNEXIS, Inc.",8.240934090173825,https://www.nasdaq.com/symbol/scyx
"Alliance MMA, Inc.",8.219178082191789,https://www.nasdaq.com/symbol/amma
"Ramaco Resources, Inc.",8.2018927444795,https://www.nasdaq.com/symbol/metc
OncoSec Medical Incorporated,8.201892744479489,https://www.nasdaq.com/symbol/oncs
Educational Development Corporation,8.192771084337364,https://www.nasdaq.com/symbol/educ
Pyxis Tankers Inc.,8.188189008647194,https://www.nasdaq.com/symbol/pxs
"Bellicum Pharmaceuticals, Inc.",8.1871765813411,https://www.nasdaq.com/symbol/blcm
"Seres Therapeutics, Inc.",8.184143222506401,https://www.nasdaq.com/symbol/mcrb
Karyopharm Therapeutics Inc.,8.171315863623553,https://www.nasdaq.com/symbol/kpti
"Powell Industries, Inc.",8.163265306122435,https://www.nasdaq.com/symbol/powl
"Revolution Lighting Technologies, Inc.",8.153477218225417,https://www.nasdaq.com/symbol/rvlt
"Eyegate Pharmaceuticals, Inc.",8.144796380090485,https://www.nasdaq.com/symbol/eyeg
Nemaura Medical Inc.,8.130081300813007,https://www.nasdaq.com/symbol/nmrd
Legacy Reserves LP,8.088642659279783,https://www.nasdaq.com/symbol/lgcyo
"Exela Technologies, Inc.",8.085106382978722,https://www.nasdaq.com/symbol/xela
Barclays PLC,8.076254201069968,https://www.nasdaq.com/symbol/dlbs
Ultralife Corporation,8.076009501187647,https://www.nasdaq.com/symbol/ulbi
"Alder BioPharmaceuticals, Inc.",8.064516129032258,https://www.nasdaq.com/symbol/aldr
"Mustang Bio, Inc.",8.052805280528059,https://www.nasdaq.com/symbol/mbio
Tellurian Inc.,8.006826423949358,https://www.nasdaq.com/symbol/tell
"CBAK Energy Technology, Inc.",8.000000000000007,https://www.nasdaq.com/symbol/cbak
"Marathon Patent Group, Inc.",7.999999999999999,https://www.nasdaq.com/symbol/mara
"Empire Resorts, Inc.",7.964601769911507,https://www.nasdaq.com/symbol/nyny
"PHI, Inc.",7.9641579457688305,https://www.nasdaq.com/symbol/phii
CymaBay Therapeutics Inc.,7.960078876413544,https://www.nasdaq.com/symbol/cbay
"Infrastructure and Energy Alternatives, Inc.",7.959398403168909,https://www.nasdaq.com/symbol/ieaww
"Centennial Resource Development, Inc.",7.94701986754967,https://www.nasdaq.com/symbol/cdev
Ascendis Pharma A/S,7.944347826086967,https://www.nasdaq.com/symbol/asnd
