Company Name,Stock Volatility today as a percent of company average stock today,StockURL
"AgroFresh Solutions, Inc.",149.21426789723122,https://www.nasdaq.com/symbol/agfsw
"Cellectar Biosciences, Inc.",95.0,https://www.nasdaq.com/symbol/clrbw
"American Electric Technologies, Inc.",85.87570621468925,https://www.nasdaq.com/symbol/aeti
Electrum Special Acquisition Corporation,73.01587301587301,https://www.nasdaq.com/symbol/elecw
Sears Holdings Corporation,49.056603773584904,https://www.nasdaq.com/symbol/shldw
"BIO-key International, Inc.",45.53119730185498,https://www.nasdaq.com/symbol/bkyi
"Kandi Technologies Group, Inc.",43.47826086956521,https://www.nasdaq.com/symbol/kndi
"Gevo, Inc.",43.46116027531958,https://www.nasdaq.com/symbol/gevo
"Renmin Tianli Group, Inc.",42.142857142857146,https://www.nasdaq.com/symbol/abac
"Deciphera Pharmaceuticals, Inc.",35.11777301927195,https://www.nasdaq.com/symbol/dcph
"TrovaGene, Inc.",31.32530120481926,https://www.nasdaq.com/symbol/trov
"China Natural Resources, Inc.",31.141868512110726,https://www.nasdaq.com/symbol/chnr
"Mersana Therapeutics, Inc.",30.833102684749527,https://www.nasdaq.com/symbol/mrsn
AC Immune SA,30.554001119194186,https://www.nasdaq.com/symbol/aciu
Anavex Life Sciences Corp.,30.42836041358936,https://www.nasdaq.com/symbol/avxl
"LiveXLive Media, Inc.",30.06012024048096,https://www.nasdaq.com/symbol/livx
"Viveve Medical, Inc.",29.668411867364746,https://www.nasdaq.com/symbol/vive
"Versartis, Inc.",28.571428571428566,https://www.nasdaq.com/symbol/vsar
"Jounce Therapeutics, Inc.",28.287841191066992,https://www.nasdaq.com/symbol/jnce
"CytomX Therapeutics, Inc.",26.094570928196152,https://www.nasdaq.com/symbol/ctmx
ReShape Lifesciences Inc.,24.997704105060162,https://www.nasdaq.com/symbol/rsls
"Alta Mesa Resources, Inc.",24.12807318467696,https://www.nasdaq.com/symbol/amrww
I-AM Capital Acquisition Company,23.39955849889624,https://www.nasdaq.com/symbol/iamxw
China Lending Corporation,22.98624754420432,https://www.nasdaq.com/symbol/cldc
"Aduro Biotech, Inc.",22.516556291390728,https://www.nasdaq.com/symbol/adro
Nektar Therapeutics,22.440737489025462,https://www.nasdaq.com/symbol/nktr
"BroadVision, Inc.",22.22222222222222,https://www.nasdaq.com/symbol/bvsn
"Community Health Systems, Inc.",22.22222222222222,https://www.nasdaq.com/symbol/cyhhz
"Amtech Systems, Inc.",22.098833981121604,https://www.nasdaq.com/symbol/asys
"Comstock Holding Companies, Inc.",21.935483870967733,https://www.nasdaq.com/symbol/chci
"Apollo Endosurgery, Inc.",21.57339821573398,https://www.nasdaq.com/symbol/apen
"Netlist, Inc.",21.23893805309734,https://www.nasdaq.com/symbol/nlst
Axovant Sciences Ltd.,21.052631578947377,https://www.nasdaq.com/symbol/axon
"Moxian, Inc.",20.964630225080384,https://www.nasdaq.com/symbol/moxc
